review_text,response,empathy_score,relevance_score,helpfulness_score,is_good,use_count,timestamp
"login issues , otp is delayed","We want to thank you for sharing your feedback with us. We're truly sorry to hear about the login issues and the delayed OTP you've been experiencing. We understand the frustration this has caused you. To address the login problem, please ensure a stable internet connection and try clearing the app cache or reinstalling it. For the delayed OTP, consider restarting your device or checking for any network issues. If these steps don't resolve the problem, please reach out to our support team for further assistance. Your patience is valued as we strive to enhance your app experience. Thank you for your understanding.",3,3,3,True,0,2025-04-13T10:17:07.410994
"login issues , otp is delayed","We are sorry to hear about the login issues and the delayed OTP you have been experiencing. We understand how frustrating this must be for you. To address the login problem, please ensure a stable internet connection and try clearing the app cache or reinstalling it. For the delayed OTP, consider restarting your device or checking for any network issues. If these steps don't resolve the problem, please reach out to our support team for further assistance. Your patience is valued as we strive to enhance your app experience. Thank you for your understanding.",3,3,3,True,0,2025-04-13T10:17:27.274163
app sucks,"Hello,

I'm sorry to hear that you're not satisfied with our application. We understand your frustration, and we would like to learn more about the specific issues you encountered. Your feedback is crucial to us, so please share more details about what aspects of the app you found lacking so we can address them promptly and improve your experience.

Thank you for bringing this to our attention. We are dedicated to making the necessary improvements and hope to provide you with a better app experience in the future.

We appreciate your feedback and look forward to resolving any issues you may have.",3,3,3,True,0,2025-04-13T10:34:15.428461
app sucks,"Hello,

I'm sorry to hear that you're not satisfied with our application. We understand that you're facing challenges with the app, and we would like to learn more about the specific issues you encountered. Your feedback is essential to us, so please share more details about what aspects of the app you found lacking so we can address them promptly and improve your experience.

Thank you for bringing this to our attention. We are dedicated to making the necessary improvements and hope to provide you with a better app experience in the future.

We appreciate your feedback and look forward to resolving any issues you may have.",3,3,3,True,0,2025-04-13T10:35:01.193249
otp not working,"Thank you for sharing your feedback with us regarding the OTP issue you're facing. We understand the inconvenience this has caused you. To address this problem, please ensure that you have a stable internet connection and consider restarting your device. If the issue persists, feel free to reach out to our support team for further assistance. Your patience is appreciated as we work to improve your experience with our app. Thank you for your understanding.",3,3,3,True,0,2025-04-13T10:41:07.995429
a,"Hello,

Thank you for taking the time to leave a review. We appreciate your feedback. If you have any specific issues or concerns you'd like to address, please feel free to reach out to our customer support team. We are here to help and ensure you have a positive experience with our app.

We look forward to hearing from you and assisting in any way we can. Thank you for your support.",3,3,3,True,0,2025-04-13T10:43:52.348563
"application is amazing , recent health points helps us","Thank you for your positive feedback! We are thrilled to hear that you find our app amazing and that the recent health points feature is helping you. Your satisfaction is our top priority, and we are delighted that you are enjoying your experience with our app. If you have any suggestions or ideas on how we can make the app even better for you, please feel free to share them with us. We are always looking for ways to enhance our app and provide you with the best possible service. Thank you for your support, and we look forward to continuing to impress you with our app!",3,3,3,True,0,2025-04-13T11:11:49.448486
"why is load time so slow,please imporve your service else will loose customers.","Thank you for sharing your feedback with us. We understand your frustration with the slow load time you've been experiencing while using our app. Your satisfaction is important to us, and we apologize for any inconvenience this may have caused.

To address the delay issue, we recommend checking for any pending app updates that may enhance performance. Additionally, clearing the app cache or restarting your device can help improve the app's speed.

We appreciate your input as it helps us pinpoint areas for improvement. Rest assured that we are dedicated to providing a better experience for our users. If you have any further suggestions or encounter any other issues, please feel free to contact us. We are committed to delivering a smoother app experience for you in the future.

Thank you for your feedback, and we look forward to regaining your trust and providing you with an improved service.",3,3,3,True,0,2025-04-13T11:43:16.186158
"why is load time so slow,please imporve your service else will loose customers.","Thank you for reaching out and sharing your concerns about the slow load time you've been experiencing on our app. We genuinely appreciate your feedback and understand the importance of a seamless user experience.

To address the delay issue, we recommend checking for any available app updates that could potentially enhance the app's performance. Additionally, clearing the app cache or restarting your device might also help improve the speed of the app.

Your satisfaction is our priority, and we are committed to making the necessary improvements to provide you with a better service. Your feedback is invaluable in helping us identify areas for enhancement.

Please don't hesitate to reach out if you have any further suggestions or encounter any other issues. We are dedicated to delivering a more efficient and enjoyable app experience for you in the future.

Thank you for your feedback, and we look forward to regaining your trust by offering you an improved service.",3,3,3,True,0,2025-04-13T11:43:36.854089
"why is load time so slow,please imporve your service else will loose customers.","Thank you for taking the time to share your feedback with us. We understand your concern regarding the slow load time you've been experiencing while using our app. Your feedback is valuable to us, and we apologize for any inconvenience this may have caused.

To address the delay issue, we recommend checking for any pending app updates that may enhance performance. Additionally, clearing the app cache or restarting your device can help improve the app's speed.

Your satisfaction is important to us, and we are committed to providing a better experience for our users. We value your input as it helps us identify areas for improvement and strive to deliver a smoother app experience for you in the future.

If you have any further suggestions or encounter any other issues, please feel free to contact us. We are dedicated to regaining your trust and offering you an improved service. Thank you for your feedback, and we look forward to enhancing your experience with our app.",3,3,3,True,0,2025-04-13T11:45:38.484631
"why is load time so slow,please imporve your service else will loose customers.","Thank you for sharing your feedback with us. We understand your concern about the slow load time you've been experiencing while using our app. Your satisfaction is crucial to us, and we apologize for any inconvenience this may have caused.

To address the delay concern, we recommend checking for any pending app updates that could potentially improve performance. Additionally, clearing the app cache or restarting your device may help enhance the app's speed.

We value your input as it helps us pinpoint areas for improvement. Rest assured, we are dedicated to providing a better experience for our users. If you have any further suggestions or encounter any other issues, please feel free to contact us. We are committed to delivering a smoother app experience for you in the future.

Thank you for your feedback, and we look forward to regaining your trust by offering you an improved service.",3,3,3,True,0,2025-04-13T11:46:46.006604
"why is load time so slow,please imporve your service else will loose customers.","Thank you for sharing your feedback with us. We understand your frustration with the slow load time you've been experiencing while using our app. Your satisfaction is important to us, and we apologize for any inconvenience this may have caused.

To address the delay issue, we recommend checking for any pending app updates that may enhance performance. Additionally, clearing the app cache or restarting your device can help improve the app's speed.

We appreciate your input as it helps us pinpoint areas for improvement. Rest assured that we are dedicated to providing a better experience for our users. If you have any further suggestions or encounter any other issues, please feel free to contact us. We are committed to delivering a smoother app experience for you in the future.

Thank you for your feedback, and we look forward to regaining your trust and providing you with an improved service.",3,3,3,True,0,2025-04-13T11:47:13.608528
"why is load time so slow,please imporve your service else will loose customers.","Thank you for sharing your feedback with us. We understand your frustration with the slow load time you've been experiencing while using our app. Your satisfaction is important to us, and we apologize for any inconvenience this may have caused.

To address the delay issue, we recommend checking for any pending app updates that may enhance performance. Additionally, clearing the app cache or restarting your device can help improve the app's speed.

We appreciate your input as it helps us pinpoint areas for improvement. Rest assured that we are dedicated to providing a better experience for our users. If you have any further suggestions or encounter any other issues, please feel free to contact us. We are committed to delivering a smoother app experience for you in the future.

Thank you for your feedback, and we look forward to regaining your trust and providing you with an improved service.",3,3,3,True,0,2025-04-13T11:47:58.999823
"why is load time so slow,please imporve but thanks for quick reposnse","Thank you for sharing your feedback with us. We understand your frustration with the slow load time you've been experiencing while using our app. Your satisfaction is important to us, and we apologize for any inconvenience this may have caused.

To address the delay issue, we recommend checking for any pending app updates that may enhance performance. Additionally, clearing the app cache or restarting your device can help improve the app's speed.

We appreciate your input as it helps us pinpoint areas for improvement. Rest assured that we are dedicated to providing a better experience for our users. If you have any further suggestions or encounter any other issues, please feel free to contact us. We are committed to delivering a smoother app experience for you in the future.

Thank you for your feedback, and we look forward to regaining your trust and providing you with an improved service.",3,3,3,True,0,2025-04-13T11:48:40.873285
"why is load time so slow,please imporve but amazing UI","Thank you for sharing your feedback with us. We understand your frustration with the slow load time you've been experiencing while using our app. Your satisfaction is important to us, and we apologize for any inconvenience this may have caused.

To address the delay issue, we recommend checking for any pending app updates that may enhance performance. Additionally, clearing the app cache or restarting your device can help improve the app's speed.

We are glad to hear that you find our UI amazing, and we appreciate your positive feedback in that aspect. Your input helps us pinpoint areas for improvement, and we are dedicated to providing a better experience for our users.

If you have any further suggestions or encounter any other issues, please feel free to contact us. We are committed to delivering a smoother app experience for you in the future.

Thank you for your feedback, and we look forward to regaining your trust and providing you with an improved service.",3,3,3,True,0,2025-04-13T11:49:15.613689
"why is load time so slow,please imporve but amazing UI","Thank you for sharing your feedback with us. We understand your frustration with the slow load time you've been experiencing while using our app. Your satisfaction is crucial to us, and we apologize for any inconvenience this may have caused.

To address the delay issue, we recommend checking for any pending app updates that may enhance performance. Additionally, clearing the app cache or restarting your device can help improve the app's speed.

We are pleased to hear that you find our UI amazing. Your input helps us identify areas for improvement, and we are dedicated to providing a better experience for our users.

If you have any further suggestions or encounter any other issues, please feel free to contact us. We are committed to delivering a smoother app experience for you in the future.

Thank you for your feedback, and we look forward to regaining your trust and providing you with an improved service.",3,3,3,True,0,2025-04-13T11:51:06.114815
"why is load time so slow,please imporve else you will loose customers","Thank you for sharing your feedback with us. We understand your frustration with the slow load time you've been experiencing while using our app. Your satisfaction is important to us, and we apologize for any inconvenience this may have caused.

To address the delay issue, we recommend checking for any pending app updates that may enhance performance. Additionally, clearing the app cache or restarting your device can help improve the app's speed.

We appreciate your input as it helps us pinpoint areas for improvement. Rest assured that we are dedicated to providing a better experience for our users. If you have any further suggestions or encounter any other issues, please feel free to contact us. We are committed to delivering a smoother app experience for you in the future.

Thank you for your feedback, and we look forward to regaining your trust and providing you with an improved service.",3,3,3,True,0,2025-04-13T11:51:24.849808
loose customers,"Thank you for sharing your feedback with us. We understand the concern you've raised about losing customers and the impact it can have on your experience with our app. 

To address this issue, we recommend focusing on enhancing customer engagement by providing personalized experiences, responding promptly to inquiries, and continuously seeking feedback for improvement. Building strong relationships with your customers can help in retaining them and fostering loyalty.

We value your input and are committed to making the necessary adjustments to improve customer satisfaction. If you have any further suggestions or encounter any challenges, please feel free to reach out to us. We are dedicated to regaining your trust and providing you with an enhanced service that meets your expectations.

Thank you for your feedback, and we look forward to implementing changes that will help retain and attract more customers to our app.",3,3,3,True,0,2025-04-13T11:53:43.143162
app is so slow you will loose customers if dont work right,"Thank you for sharing your feedback with us. We understand your concerns about the app's slow performance and the potential impact it could have on your customers' experience. 

To address the issue of slow performance, we recommend checking for any pending app updates that may enhance speed. Additionally, clearing the app cache or restarting your device can help improve the app's performance significantly.

We value your input as it helps us identify areas for improvement. Rest assured, we are dedicated to providing a better experience for our users. If you encounter any other issues or have further suggestions, please feel free to reach out to us. We are committed to delivering a smoother app experience for you in the future.

Thank you for your feedback, and we look forward to regaining your trust by providing an improved service that meets your expectations.",3,3,3,True,0,2025-04-13T11:54:26.711070
app is kyc never works you will loose customers if dont work right,"Thank you for sharing your feedback with us. We understand your frustration regarding the KYC process not working correctly and the potential impact it may have on your customer base.

To address the issue of the KYC process not functioning properly, we recommend reaching out to our support team at 1-800-XXX-XXXX if you continue to experience difficulties. We strive to resolve KYC issues promptly and aim to provide a seamless experience for all users within a reasonable timeframe.

Your input is valuable to us as it helps us identify areas for improvement. Rest assured, we are dedicated to enhancing our KYC process to ensure a smoother and more efficient experience for our users. If you encounter any other challenges or have further suggestions, please feel free to contact us. We are committed to regaining your trust and providing a service that meets your expectations.

Thank you for your feedback, and we look forward to implementing improvements that will enhance your experience with our app.",3,3,3,True,0,2025-04-13T11:54:43.279567
kyc always fail,"Thank you for sharing your feedback with us regarding the KYC process. We understand the frustration that repeated failures can cause.

To address the issue of your KYC failing consistently, we recommend reaching out to our support team at 1-800-XXX-XXXX for personalized assistance. Our team is dedicated to resolving any issues promptly to ensure a smoother experience for you.

Your input is invaluable in helping us identify areas for improvement. We are committed to enhancing our KYC process to provide a more reliable and efficient experience for all users. If you encounter any further challenges or have suggestions, please don't hesitate to contact us. We are here to assist you and improve your experience with our app.

Thank you for your feedback, and we are eager to implement changes that will enhance your interaction with our platform.",3,3,3,True,0,2025-04-13T11:58:23.892040
kyc always fails,"Thank you for sharing your feedback regarding the ongoing issues with the KYC process. We understand the frustration that repeated failures can cause.

To address the consistent failure of your KYC, we recommend contacting our support team at 1-800-XXX-XXXX for personalized assistance. Our dedicated team is ready to help resolve any issues promptly to ensure a smoother experience for you.

Your input is crucial in helping us identify areas for improvement. We are committed to enhancing our KYC process to provide a more reliable and efficient experience for all users. If you encounter any further challenges or have suggestions, please don't hesitate to reach out. We are here to assist you and improve your experience with our app.

Thank you for your feedback, and we are eager to implement changes that will enhance your interaction with our platform.",3,3,3,True,0,2025-04-13T12:01:41.819802
kyc always fails,"Thank you for sharing your feedback about the consistent failures in the KYC process. We understand the frustration this must have caused you.

To address the ongoing issue with your KYC failing, we recommend contacting our support team at 1-800-XXX-XXXX for personalized assistance. Our dedicated team is prepared to help resolve any issues promptly to ensure a smoother experience for you.

Your input is vital in helping us identify areas for improvement. We are committed to enhancing our KYC process to provide a more reliable and efficient experience for all users. If you encounter any further challenges or have suggestions, please don't hesitate to reach out. We are here to assist you and improve your experience with our app.

Thank you for your feedback, and we are eager to implement changes that will enhance your interaction with our platform.",3,3,3,True,0,2025-04-13T12:02:01.571930
very bad experience,"Dear valued user,

We're truly sorry to hear about your negative experience. We understand the importance of a seamless experience and we apologize for falling short of your expectations. 

If you encountered any specific issues or difficulties, please reach out to our support team at 1-800-XXX-XXXX for assistance. We are committed to addressing and resolving any concerns promptly.

We appreciate your feedback as it helps us improve our services for you and all our users. Thank you for bringing this to our attention.

Warm regards, 
[Your Name]",3,3,3,True,0,2025-04-13T12:03:43.872800
zoho has very nice experiecne,"Thank you for sharing your feedback with us. We're glad to hear that you had a nice experience with Zoho. Your positive sentiment is valuable to us, and we appreciate you taking the time to share your thoughts. If there are specific features or aspects of Zoho's app that you particularly enjoyed, we'd love to hear more about them. Your insights help us understand what users find valuable, and we can use that information to enhance our own app. If you have any suggestions or feedback on how we can improve our app to provide a similar positive experience, please feel free to let us know. We're always looking for ways to make our app better and more user-friendly. Thank you for your review.",3,3,3,True,0,2025-04-13T12:04:17.871459
app sucks,"Hello,

I'm sorry to hear that you're not satisfied with our application. We understand your frustration, and we would like to learn more about the specific issues you encountered that led you to feel this way. Your feedback is crucial to us in identifying areas for improvement. 

If you could share more details about what aspects of the app you found lacking, we can address them promptly to enhance your experience. Your input is valuable to us, and we are committed to making the necessary improvements.

Thank you for bringing this to our attention. We look forward to resolving any issues you may have and hope to provide you with a better app experience in the future.

We appreciate your feedback and are dedicated to enhancing our app based on your suggestions.",3,3,3,True,0,2025-04-13T12:07:55.288679
app sucks,"Hello,

I'm sorry to hear that you're not satisfied with our application. We understand that you're facing challenges with the app, and we would like to learn more about the specific issues you encountered that led you to feel this way. Your feedback is crucial to us in identifying areas for improvement.

If you could share more details about what aspects of the app you found lacking, we can address them promptly to enhance your experience. Your input is valuable to us, and we are committed to making the necessary improvements.

Thank you for bringing this to our attention. We look forward to resolving any issues you may have and hope to provide you with a better app experience in the future.

We appreciate your feedback and are dedicated to enhancing our app based on your suggestions.",3,3,3,True,0,2025-04-13T12:08:38.024216
zoho app is better,"Thank you for sharing your feedback with us and mentioning that Zoho app is better. We value your opinion and understand your preference for Zoho. Your insights are important to us as we strive to enhance our app. If there are specific features or aspects of Zoho that you find more appealing, we would love to hear more about them. Your feedback helps us identify areas where we can improve to better meet your needs. Feel free to share any suggestions or feedback you may have. We are committed to continuously improving our app based on user input, and we appreciate you taking the time to review our app. Thank you for your valuable feedback.",3,3,3,True,0,2025-04-13T12:09:46.185321
zoho app is better,"Thank you for sharing your feedback with us and mentioning that the Zoho app is better. We appreciate your input and understand your preference for Zoho. Your insights are valuable to us as we strive to enhance our app. If there are specific features or aspects of the Zoho app that you find more appealing, we would love to hear more about them. Your feedback helps us identify areas where we can improve to better meet your needs. Feel free to share any suggestions or feedback you may have. We are committed to continuously improving our app based on user input, and we appreciate you taking the time to review our app. Thank you for your valuable feedback.",3,3,3,True,0,2025-04-13T12:10:53.150403
zoho app is better,"Thank you for sharing your feedback with us and mentioning that the Zoho app is better. We value your opinion and understand your preference for Zoho. Your insights are important to us as we strive to enhance our app. If there are specific features or aspects of the Zoho app that you find more appealing, we would love to hear more about them. Your feedback helps us identify areas where we can improve to better meet your needs. Feel free to share any suggestions or feedback you may have. We are committed to continuously improving our app based on user input, and we appreciate you taking the time to review our app. Thank you for your valuable feedback.",3,3,3,True,0,2025-04-13T12:15:31.477416
zoho app is better,"Thank you for sharing your feedback with us and mentioning that the Zoho app is better. We appreciate your preference for Zoho and understand your perspective. Your insights are valuable to us as we continue to enhance our app. If there are specific features or aspects of the Zoho app that you find more appealing, we would love to hear more about them. Your feedback helps us identify areas where we can improve to better meet your needs. Feel free to share any suggestions or feedback you may have. We are committed to continuously improving our app based on user input, and we appreciate you taking the time to review our app. Thank you for your valuable feedback.",3,3,3,True,0,2025-04-13T12:16:00.049873
zoho app is better,"Thank you for sharing your feedback with us and mentioning that the Zoho app is better. We appreciate your perspective and understand your preference for Zoho. Your insights are valuable to us as we strive to enhance our app. If there are specific features or aspects of the Zoho app that you find more appealing, we would love to hear more about them. Your feedback helps us identify areas where we can improve to better meet your needs. Feel free to share any suggestions or feedback you may have. We are committed to continuously improving our app based on user input, and we appreciate you taking the time to review our app. Thank you for your valuable feedback.",3,3,3,True,0,2025-04-13T12:16:04.566479
zoho app is better,"Thank you for sharing your feedback with us and mentioning that the Zoho app is better. We appreciate your preference and value your opinion. Your insights are important as we strive to enhance our app. If there are specific features or aspects of the Zoho app that you find more appealing, we would love to hear more about them. Your feedback helps us identify areas where we can improve to better meet your needs. Feel free to share any suggestions or feedback you may have. We are committed to continuously improving our app based on user input, and we appreciate you taking the time to review our app. Thank you for your valuable feedback.",3,3,3,True,0,2025-04-13T12:18:34.166720
zoho app is better than you aap,"Thank you for sharing your feedback with us. We appreciate you comparing our app to Zoho and mentioning that you find their app better. Your opinion is important to us, and we understand your preference for Zoho. We value your insights as they help us identify areas where we can improve our app to better meet your needs. If there are specific features or aspects of the Zoho app that you prefer, we would love to hear more about them. Your feedback is crucial in our continuous efforts to enhance our app. Feel free to share any suggestions or feedback you may have. We are committed to improving our app based on user input, and we thank you for taking the time to review our app. Thank you for your valuable feedback.",3,3,3,True,0,2025-04-13T12:19:01.609158
zoho app is better than you aap,"Thank you for sharing your feedback with us. We appreciate you mentioning that you find the Zoho app better than ours. Your opinion is important to us, and we understand your preference for Zoho. We would like to learn more about what specific features or aspects you prefer in the Zoho app to better understand how we can improve our app to meet your needs. Your insights are valuable in our continuous efforts to enhance our app. If you have any suggestions or feedback on how we can make our app better, please feel free to share them with us. We are committed to improving our app based on user input, and we thank you for taking the time to review our app. Thank you for your valuable feedback.",3,3,3,True,0,2025-04-13T12:19:10.763619
"I don't understand who gave permissions to this app? Everyone when I open this app and update request comes inn. Every time is like a new login, enter your phone opt and login. No proper guidelines for LTA allowances. I uploaded my new car RC for verification two months ago and the status is still pending for verification. I feel such apps should be monitored under special surveillance teams.","We appreciate you sharing your concerns with us regarding the permissions and verification process in the app. We apologize for the inconvenience you've faced with the frequent update requests and the unclear guidelines for LTA allowances. 

To address the login issues, we recommend ensuring a stable internet connection and checking for any app updates that may improve the login process. Regarding the pending verification of your new car RC, we understand your frustration and apologize for the delay. Please reach out to our support team at 1-800-XXX-XXXX to expedite the verification process.

Your feedback is valuable to us, and we are continuously working to enhance our app's user experience. We appreciate your understanding and patience as we strive to improve our services. Thank you for bringing these issues to our attention.",3,3,3,True,0,2025-04-13T12:26:12.242502
"I don't understand who gave permissions to this app? Everyone when I open this app and update request comes inn. Every time is like a new login, enter your phone opt and login. No proper guidelines for LTA allowances. I uploaded my new car RC for verification two months ago and the status is still pending for verification. I feel such apps should be monitored under special surveillance teams.","We understand your frustration with the frequent update requests and unclear guidelines within the app. We apologize for the inconvenience caused by the repeated login process and lack of proper information on LTA allowances.

Regarding the pending verification of your new car RC for the past two months, we sincerely apologize for the delay. To expedite the verification process, please contact our support team at 1-800-XXX-XXXX. We aim to resolve such issues promptly and provide you with a seamless experience.

Your feedback is essential to us, and we are committed to improving our app's user experience. We appreciate your patience and understanding as we work towards enhancing our services. Thank you for bringing these concerns to our attention, and we look forward to serving you better in the future.",3,3,3,True,0,2025-04-13T12:26:39.625673
"I don't understand who gave permissions to this app? Everyone when I open this app and update request comes inn. Every time is like a new login, enter your phone opt and login. No proper guidelines for LTA allowances. I uploaded my new car RC for verification two months ago and the status is still pending for verification. I feel such apps should be monitored under special surveillance teams.","We appreciate you taking the time to share your concerns with us regarding the permissions and verification process in our app. We apologize for the inconvenience you've faced with the frequent update requests and the lack of clear guidelines for LTA allowances.

To address the login issues and ensure a smoother experience, we recommend checking for any app updates that may improve the login process and maintaining a stable internet connection. Regarding the pending verification of your new car RC for the past two months, we sincerely apologize for the delay. Please contact our support team at 1-800-XXX-XXXX to expedite the verification process.

Your feedback is valuable to us, and we are continuously working to enhance our app's user experience. We understand your frustration and are committed to resolving these issues promptly. Thank you for bringing these concerns to our attention, and we look forward to serving you better in the future.",3,3,3,True,0,2025-04-13T12:26:48.570459
"I don't understand who gave permissions to this app? Everyone when I open this app and update request comes inn. Every time is like a new login, enter your phone opt and login. No proper guidelines for LTA allowances. I uploaded my new car RC for verification two months ago and the status is still pending for verification. I feel such apps should be monitored under special surveillance teams.","We appreciate you sharing your concerns with us regarding the permissions and verification process in the app. We apologize for the inconvenience you've faced with the frequent update requests and the unclear guidelines for LTA allowances.

To address the login issues, we recommend ensuring a stable internet connection and checking for any app updates that may improve the login process. Regarding the pending verification of your new car RC for the past two months, we understand your frustration and apologize for the delay. Please reach out to our support team at 1-800-XXX-XXXX to expedite the verification process.

Your feedback is valuable to us, and we are continuously working to enhance our app's user experience. We appreciate your understanding and patience as we strive to improve our services. Thank you for bringing these issues to our attention.",3,3,3,True,0,2025-04-13T12:28:28.846364
app sucks,"Hello,

I'm sorry to hear that you're not satisfied with our application. We understand your frustration with the app's performance. Your feedback is valuable to us, and we would like to learn more about the specific issues you encountered that led you to feel this way. 

If you could provide more details about what aspects of the app you found lacking, we can address them promptly to enhance your experience. We are committed to making the necessary improvements to turn your experience around.

Thank you for sharing your feedback with us. We look forward to resolving any issues you may have and hope to provide you with a better app experience in the future.

We appreciate your input and are dedicated to improving our app based on your suggestions.",3,3,3,True,0,2025-04-13T13:39:43.858604
app sucks,"Hello,

I'm sorry to hear that you're not satisfied with our application. We understand your frustration with the app, and we would like to learn more about the specific issues you encountered that led you to feel this way. Your feedback is crucial to us in identifying areas for improvement.

If you could share more details about what aspects of the app you found lacking, we can address them promptly to enhance your experience. We are dedicated to making the necessary improvements and hope to provide you with a better app experience in the future.

Thank you for bringing this to our attention. We look forward to resolving any issues you may have and aim to improve your overall satisfaction with our app.

We appreciate your feedback and are committed to enhancing our app based on your suggestions.",3,3,3,True,0,2025-04-13T13:40:27.390352
you have a wonderful application,"Hello,

Thank you for your positive feedback on our application! We are thrilled to hear that you find it wonderful. If you have any suggestions or specific features you would like to see improved or added, please feel free to share them with us. Your input is valuable to us as we strive to enhance your experience with our app.

We appreciate your support and look forward to continuing to provide you with a great user experience. If you have any questions or need assistance, please don't hesitate to reach out.

Thank you for taking the time to review our application!",3,3,3,True,0,2025-04-14T07:25:33.263817
you have a wonderful application,"Hello,

Thank you for your positive feedback on our application! We are thrilled to hear that you find it wonderful. If you have any suggestions or specific features you would like to see improved or added, please feel free to share them with us. Your input is valuable to us as we strive to enhance your experience with our app.

We appreciate your support and look forward to continuing to provide you with a great user experience. If you have any questions or need assistance, please don't hesitate to reach out.

Thank you for taking the time to review our application!",3,3,3,True,0,2025-04-14T07:37:46.857765
you have a wonderful application,"Hello,

Thank you for your positive feedback on our application! We are thrilled to hear that you find it wonderful. Your support means a lot to us, and we are delighted that you are enjoying your experience with our app.

If you have any suggestions or specific features you would like to see improved or added, please feel free to share them with us. Your input is valuable as we strive to enhance your experience further.

We appreciate your kind words and look forward to continuing to provide you with a great user experience. If you ever have any questions or need assistance, please don't hesitate to reach out.

Thank you for taking the time to review our application!",3,3,3,True,0,2025-04-14T07:38:12.408365
