Sl no,Product,User Query,Product Responses
20,EMS,Can an expense be removed from a report?,"Yes, an expense can be removed from the report before the report has been submitted. To remove as an expense from the submitted report, however, you have to first recall the report, then remove the expense and re-submit."
21,EMS,Can I attach multiple receipts to an expense?,"Yes. You can attach up to 3 receipts of a maximum of 1 MB each to an expense. Files of JPG, PNG, and PDF formats can be uploaded as receipts."
22,EMS,Can I manually enter a mileage amount?,All users can manually enter a mileage amount from below path: End-User Dashboard -> Expenses -> Add Expense -> Mileage.
23,EMS,Can I set different rules for a specific category?,"Yes, you can set the different rules and limits for each category at the below path: Administrator Dashboard -> Admin -> Categories -> Select any Category -> Edit."
24,EMS,Can I submit an expense that has a policy violation?,"Yes, you can add an expense with policy violation to the report and submit it and submit it for approval. The approvers will be able to see the policy violation warnings and react appropriately."
25,EMS,Can I switch off Smart Scan and record expenses from receipts manually?,"Users have a choice of uploading receipts directly. But, if an organization wants to do away with the Smart Scan completely, they can contact Zaggle and have it turned off."
26,EMS,Can I upload receipts in any format?,"Files of JPG, PNG, and PDF formats can be uploaded as receipts."
27,EDGE,Can the POS pin be set or changed?,"Yes, You can set/change the POS PIN.
To change the POS PIN, follow these steps: (For IndusInd Prepaid Cards)
1. Go to the home page of the Zaggle Mobile App.
2. Tap on ""Zaggle Cards"" at the bottom of the page.
3. Select your Zaggle Card.
4. Tap on the settings icon located at the top right corner.
5. Choose the 'Set POS PIN' option.
6. Enter the new POS PIN.
7. Provide the OTP.
8. Click on 'Confirm'.
9. Your POS PIN will be successfully updated.

To change the POS PIN, follow these steps: (For Yes Bank Prepaid Cards- Zinger Cards)
1. Go to the home page of the Zaggle Mobile App.
2. Tap on ""Zaggle Cards"" at the bottom of the page.
3. Select your Zaggle Card.
4. Tap on the settings icon located at the top right corner.
5. Choose the 'Set POS PIN' option.
6. Enter the new POS PIN and Expiry Date in the format (MM/YY).
7. Click on the 'SET PIN' button.
8. Your POS PIN will be successfully updated."
28,Edge,Can the ZAKEY be loaded again?,"Yes, it is a reloadable card and can be topped up based on your KYC status."
29,EDGE,Can we use Kuber card online?,Yes you can use Kuber Card online across any merchants in India
30,SAVE,Can you provide us with a minimum & maximum limit for all wallets as per RBI guidelines?,"Yes, the maximum limit with Min KYC is _10,000, while the maximum limit with Full KYC is _200,000"
31,EDGE,"Download the report of amount credited and debited
How to see the summary of the transaction done
Download the report of the transactions done
Transaction report of the card","To download the transaction report, follow these steps:
1. Log in to the Zaggle mobile app.
2. Go to the Zaggle Cards section.
3. Select the Zaggle Prepaid Card.
4. Click the Download button on the card details page.
5. Select the time period (note: periods longer than 90 days are not allowed) and choose one of these options: Send over Email or Download.
- If you select Send over Email, the statement PDF will be sent to your registered email ID.
- If you select Download, the statement PDF will be downloaded to your device.
6. The statement is secured by a unique password, which is a combination of the first four characters of your first name followed by the last four digits of your mobile number. Make sure not to include any special characters. For example, if your first name is Rohit and your last name is Kumar and your mobile number is 1234562376, your password will be ROHI2376."
32,SAVE,"Can't see any option category to add the claim
Can't select category in app
Not able to choose the category while submitting claims
No option to select category",I am sorry to hear that you are facing an issue while uploading claims. The categories and the limits are provided by HR. So Kindly check with your HR.
33,SAVE,Card is loaded but balance is not reflected in the card,Please contact your HR for the same
34,SAVE,Card is not active ?,"Follow these steps:-

Activating your card requires completing your Min-KYC.

After receiving the notification of your prepaid card issuance, log in using your registered mobile number.

Complete Min-KYC by furnishing your OVD details.

Confirm with the OTP received.

Your Zaggle Card will then be activated. If you are still facing any issues, please contact our support team at care@zaggle.in or by calling at 18605001231, Monday to Saturday. 10 AM to 7.00 PM"
35,Save,Check the balance of the Zinger cards,"To check your card balances, simply go to ""Zaggle Cards"" in the Zaggle Mobile App, select your card, and view the available balances.





"
36,SAVE,Do you have RBI License?,Zaggle works under the co-branded partner arrangement with Banks. These Banks meet  all the regulatory requirements for issuance of Prepaid Cards.
37,Save,Do you have transfer to bank option from Expense wallet?,"The bank transfer option is available only on the  Yes Bank Zinger Card. To access it, complete Full KYC to avail bank transfer option."
38,EDGE,Does credit laoded in the card has any validity?,The amount loaded in the card is valid till the card expiry
39,Edge,Does the wearable need charging?,"No, it doesn't need charging."
40,Save,Does Zaggle card work in cafeteria?,Zaggle card works on any POS device accepting Visa/Rupay cards. And provided that the merchant is registered under the food category  on the system.
41,SAVE,Does Zaggle have Customer care support on Sundays?,"Please contact our support team at care@zaggle.in or by calling at 18605001231, Monday to Saturday. 10 AM to 7.00 PM.
"
42,EDGE,How to set pin for Kuber Card?,"Before setting your PIN, you need to activate or link your Zaggle Kuber Card if it is not already linked or activated.
Incase  the card is not showing on the app, follow these steps:
1. Go to the home page of the Zaggle Mobile App.
2. Tap on ""Zaggle Cards"" at the bottom of the page.
3. Select ""Activate/Link your Zaggle Card"".
4. Enter your Card Number.
5. Click on ""Proceed"" and enter the OTP sent to your registered mobile number. Then, click on ""Confirm"".
6. Your card will be successfully added/ linked to your account.

Once activation done, proceed to Set the POS PIN, follow these steps:
1.  Go to the home page of the Zaggle Mobile App.
2. Tap on ""Zaggle Cards"" at the bottom of the page.
3. Select the Zaggle Kuber Card.
4. Tap on the settings icon located at the top right corner.
5. Choose the 'Set POS PIN' option.
6. Enter the new POS PIN.
7. Provide the OTP.
8. Click on 'Confirm'.
9. Your POS PIN will be successfully updated."
43,Edge,For how much amount can ZAKEY be used at the Merchant Store?,"1.) You can use Zakey for tap-n-pay, upto maximum of Rs.5,000.
2.) For transactions above Rs.5,000 you need to provide POS PIN after tapping the Zakey"
44,Save,Fraud transaction from my card,"Apologies for any inconvenience caused. To assist you further, please provide the merchant name, transaction date and time, transaction details (such as error screenshots), and URN number or registered mobile number to the Zaggle customer care at emailid : care@zaggle.in or give a call on the customer care number(18605001231 Monday to Saturday. 10 AM to 7 PM) regarding the same . Thank you for your cooperation."
45,Save,How can I activate my Zaggle card?,"To activate your Zaggle Card, please log in with your registered mobile number, complete the Min-KYC by providing your OVD details, and confirm with the OTP received. Your card will be activated once these steps are completed."
46,Save,How can I change POS PIN?,"To change the POS PIN for your IndusInd Prepaid Card in the Zaggle Mobile App:

1. Go to the home page.
2. Tap ""Zaggle Cards"" at the bottom.
3. Select your card.
4. Tap the settings icon at the top right.
5. Choose 'Set POS PIN.'
6. Enter the new POS PIN and OTP.
7. Click 'Confirm.'
Your POS PIN will be successfully updated.


To change the POS PIN for your Yes Bank Prepaid Card (Zinger Cards) in the Zaggle Mobile App:

1. Go to the home page.
2. Tap ""Zaggle Cards"" at the bottom.
3. Select your card.
4. Tap the settings icon at the top right.
5. Choose 'Set POS PIN.'
6. Enter the new POS PIN and expiry date in MM/YY format.
7. Click 'SET PIN.'
Your POS PIN will be successfully updated."
47,Save,How can I check the balance on my ZAKEY?,"Here are the steps to view the balance on your ZAKEY in the Zaggle Mobile App:

1. Navigate to the home page.
2. Tap ""Zaggle Cards"" at the bottom.
3. Select your ZAKEY.
4. Authenticate by entering your MPIN.
Your ZAKEY balance will be visible."
48,SAVE,How can I disable my ECOM transactions?,"To disable the ECOM transaction channel:

1. Go to Zaggle card settings.
2. Select ""Manage Card Usage.""
3. Choose the ECOM Transaction Channel.
4. Deactivate it and click ""Update.""
The ECOM transaction channel will be successfully disabled."
49,SAVE,How can I enable my POS transactions?,"To set POS transaction limits:

1. Go to Zaggle card settings.
2. Select ""Manage Card Usage.""
3. Choose the POS Transaction Channel.
4. Enable it, set your limits, and click ""Update.""
Your POS transaction limits will be successfully applied."
50,EMS,How can I export my expenses?,"To export your expenses, login to zaggleems.com, go to expenses and click on the export to Excel button at the bottom of the page"
51,Save,How can I load my Zinger (Zaggle) Card?,Zinger Card is a Corporate Card. Please contact your Corporate admin or HR for loading the card.
52,Save,How can I lock my card?,"To temporarily lock your Zaggle Card:
1. Open ""Zaggle Cards"" in the app.
2. Select your card.
3. Tap settings.
4. Choose ""Lock Card.""
5. Provide a reason and OTP.
6. Confirm.
Your card will be successfully locked.

You can unlock the card in same section later."
53,Save,How can I unblock my Card?,If you card is blocked it cannot be unblocked.  Please contact the Customer Care at 18605001231 from Mon – Sat (10AM – 7PM). Or write in to care@zaggle.in for card replacement. 
54,EMS,How can I upload my receipts?,"You can upload your receipts both through the mobile application and web dashboard. The receipts can be attached to an existing expense, or a new expense can be created automatically by scanning a receipt through the smart scan in the mobile application."
55,EMS,How can someone add and submit expenses on Zaggle EMS if they don't have a smartphone?,Zaggle EMS is a cloud-based application. You can create and submit expenses on both mobile applications and on desktop by logging into zaggleems.com.
56,Edge,How do I activate my ZAKEY?,"Once you login to the Zaggle mobile app and complete your KYC process the Zakey( wearable) device will be activated automatically.
To complete your Min KYC, follow these steps:
1. Download Zaggle Mobile App, Login /Signup with your registred mobile no.
2. Go to the home page of the Zaggle Mobile App.
3. Tap on ""Zaggle Cards"" at the bottom of the page.
4. A popup will appear prompting you to complete the Yes Bank Account Registration & Min KYC  process.
5. Click on ""Yes Bank Account Registration and Min KYC"" and provide the necessary details  for the Min KYC process.
6. Ensure to consent to providing your Aadhaar number for Min KYC by selecting the checkbox.
7. Click on ""Submit"". Your Min KYC process will be successfully completed.
8.  Your Zakey will then be added and displayed in the Zaggle Cards section."
57,Save,How do I check when the card will expire?,"The card expiry date is visible on the front of the card or can be accessed via the Zaggle Mobile App. To view it:

1. Navigate to ""Zaggle Cards.""
2. Select your card.
3. Authenticate with your MPIN.
4. Voila! Your card details, including the expiry date, will be readily available at your fingertips.


"
58,EMS,How do I modify a submitted expense?,"To modify an expense from a submitted report, you have to first recall the report, then remove the expense and re-submit."
59,SAVE,How does the taxation work for the remaining balance during the financial year end?,"Meal and gift balance can continue even after FY end, the rest of the benefits are taxed. Zaggle provides the claimed and unclaimed report for the corporate to tax the employee in March payroll"
60,SAVE,How does Zaggle ensure data security?,"Zaggle is ISO 9001, 27001 certified, PCI DSS certified and SOC 2 compliant. It ensures data security by employing advanced encryption methods, adhering to stringent compliance standards, and partnering with trusted banks. Our robust security protocols protect user data and transactions, maintaining the highest level of privacy and integrity."
61,SAVE,How I can pay driver salary?,"Once click on the Driver Salary feature under settings, User will land on Beneficiary Management: it shows Beneficiary details like Beneficiary Name, Acc No, IFSC code. Click on the Transfer Button and select the Pending Months then transfer the funds successfully to Beneficiary account."
62,Edge,How is the Kuber card used?,The Kuber card is a prepaid Card that can be used at any VISA/Rupay merchant in India.This card will come preloaded with the amount gifted to you.
63,EMS,"How many expenses can be added to my expense report?
",There are no limits to the number of expenses in a number of reports. You can add as many expenses in a report as required.
64,EMS,How to add mileage using Geolocation?,All users can add mileage using Geolocation from below path: End-User Dashboard -> Expenses -> Add Expense -> Mileage -> Geo location.
65,EMS,How to add mileage using GPS tracking?,All users can add mileage using GPS tracking through mobile application from below path: Mobile Application -> Expense -> Add+ -> Mileage -> Geo location.
66,EMS,How to add mileage using odometer reading?,All users can add mileage using odometer reading from below path: End-User Dashboard -> Expenses -> Add Expense -> Mileage -> Odometer Reading.
67,Save,How to block card?,"To block your Zaggle Card permanently, go to ""Zaggle Cards"" in the app, select your card, tap the settings icon, choose ""Block Card,"" enter the reason and OTP, then confirm. Your card will be successfully blocked."
68,SAVE,How to change email address,Please contact your Corporate HR for change in email address
69,Save,How to change MPIN,"To change your MPIN:

1. Navigate to ""Zaggle Cards"" in the Zaggle Mobile App.
2. Tap the settings icon.
3. Select ""Change MPIN.""
4. Enter your old MPIN and new MPIN.
5. Click ""Submit.""
Your MPIN will be successfully updated."
70,Edge,How to change the address pincode for the KYC,"1.)  You can update the pincode only until the Vendor is not mapped. you can click on Update Appointment on the Full KYC Biometric Status button on the Card section and update the details on your mobile app.
2.) Once the KYC vendor is assigned, you can share the updated details directly to the agent of the KYC vendor once he contacts you to book the visit."
71,SAVE,"How to check full kyc appointment status
","Click on the Zaggle Card, then select the ""Full KYC"" button on the left side below the card to view your full KYC details."
72,SAVE,"How to check if my card is valid or not ?
I wanted to know if my card is still valid ?","The card expiry date is visible on the front of the card or can be accessed via the Zaggle Mobile App. To view it:

1. Navigate to ""Zaggle Cards.""
2. Select your card.
3. Authenticate with your MPIN.
4. Voila! Your card details, including the expiry date, will be readily available at your fingertips."
73,SAVE,"How to check the status of approval of bills?
Bill clearance status ?","To check your bill submission status, go to ""Zaggle Cards"" and click on ""Claims"" to view the status of your previously submitted claims."
74,Propel,"How to check voucher status
When will I recieve my vouchers ","To check the voucher status, you can follow these steps:
1. Go to the home page of the Zaggle Mobile App.
2. Tap on ""My Acounts"" at the bottom of the page.
3. Click on 'My Orders'.
4. Locate the specific order number associated with the order / voucher.
5. Once you've found the order, you can check the status to see if the voucher has been confirmed or dispatched or cancelled.

To know the delivery time for a voucher, you can view it from:
1. You can find the tentative delivery days on the product description page when placing the order. 
2. Additionally, the tentative delivery date is provided in the order confirmation email.
3. Please note that delivery times may vary for each voucher. Some vouchers are delivered instantly, while others may take days to deliver. "
75,PROPEL,How to check when the voucher will expire,"To check voucher code expiry from the Propel Web platform, please follow these steps:
1.	Visit www.zagglepropel.com.
2.	Login using your email ID or mobile number along with your password or OTP.
3.	Click on the ""Login"" button.
4.	Navigate to the ""My Orders"" section.
5.	Verify your mobile number by entering the OTP. (Note: The OTP is triggered to the registered mobile number).
6.	Upon successful verification, you will be redirected to the orders page.
7.	Select the Order ID and expand it by clicking on ""+"" icon.
8.	Check for the expiry of the voucher code in ""Valid Till"" column.


To cancel an order from the Zaggle mobile app, follow these steps:
1.	Login to the mobile app using OTP.
2.	Go to the home page of the Zaggle Mobile App.
3.	Tap on ""My Account"" at the bottom of the page.
4.	Click on ""My Orders"".
5.	Select the Order ID.
6.    Select the brand name.
7.	Check for the expiry of the voucher code which will be mentioned as ""Expires on: DD-MM-YYYY"""
76,SAVE,How to close my zaggle account?,Please contact your HR for the same. 
77,EDGE,What is virtual Zaggle card? How to use it,"A virtual Zaggle card is a digital version of a prepaid card provided by Zaggle. It offers the same functionality as a physical card but exists only in digital form which can be used for online purchases, subscriptions, and other digital transactions without needing a physical card.
With a digital card provided you can use the same for online transaction using (card number, expiration date, and CVV) on an Indian e-commerce website in Indian rupees"
78,Save,How to replace my Card in case I have lost the old card or the card has expired?,"Incase the card get's lost, permanently block your card, go to ""Zaggle Cards,"" select your card, and choose ""Card Settings,"" then ""Block Card."" Email care@zaggle.in with your URN and dispatch address; a replacement card will be sent, with applicable charges deducted."
79,SAVE,How to replace my Card in case it is damaged,"Please contact our support team at care@zaggle.in or by calling at 18605001231, Monday to Saturday. 10 AM to 7.00 PM"
80,EDGE,Where can I view the transactions done with my Zaggle Card?,"1. Go to the home page of the Zaggle Mobile App.
2. Tap on ""Zaggle Cards"" at the bottom of the page.
3. Select your Zaggle Card.
4. Beneath the card details, you can view the transaction history of Zaggle Card."
81,EDGE,How to update contact details for Kuber Card,"To update contact details for Kuber Card, please add the card on your mobile app. Once you activate the card, you will not be able to update the contact details on your card."
82,Save,I forgot my MPIN,"If you've forgotten your MPIN, go to ""Zaggle Cards"" in the Zaggle Mobile App, tap the settings icon, select ""Forgot MPIN,"" answer the security question, and click ""Submit."" If you don't recall the answers, click ""Send MPIN by Email"" to receive it via your registered email address."
83,Save,I have dispute in my transaction,"We apologize for any inconvenience caused. To assist you efficiently, please provide the merchant name, transaction date and time, transaction details (e.g., error screenshots), and URN number or registered mobile number to the Zaggle email ID :care@zaggle.in . Thank you for your cooperation."
84,Save,I have lost my Zinger (Zaggle) Card. How can I prevent it from misuse?,You can secure your Zinger Card by temporarily locking your card under Card Settings--> Lock Card
85,EMS,In case approver and admin want to obtain some additional information about the expenses from submitters.how can they do that?,They can add comments on an expense report. The submitters will get notified and can review and provide the information.
86,EMS,Is it possible to add expenses in bulk?,"Yes, you can log in to zaggleems.com go to expenses, then to the Bulk Add Expenses tab. You can add multiple expenses at once from here."
87,Save,My card is not loaded,"Please go to ""Zaggle Cards,"" choose your card, and verify the wallet balances. If there are no credits, notify your Corporate HR. If there are, enjoy your shopping!"
88,Save,My online payment is not going through?,"Please contact our support team at care@zaggle.in or by calling at 18605001231 with the following details:
Merchant Name, Transaction Date & Time, Transaction Details (such as error screenshot), and URN Number. The URN is available below the masked card number in the Zaggle App. We shall get back to you. "
89,Propel,My order number is,"Do you mean to ask the last order number?
If Yes--> Order number is XXXXXXXXX"
90,SAVE,OTP is going on incorrect mobile number,Please verify your registered mobile number with your HR department for accurate account access.
91,Propel,Propel Order cancellation,"To cancel an order from the Propel Web platform, please follow these steps:
1.	Visit www.zagglepropel.com.
2.	Login using your email ID or mobile number along with your password or OTP.
3.	Click on the ""Login"" button.
4.	Navigate to the ""My Orders"" section.
5.	Verify your mobile number by entering the OTP. (Note: The OTP is triggered to the registered mobile number).
6.	Upon successful verification, you will be redirected to the orders page.
7.	Select the Order ID.
8.	Go to the ""Action"" column.
9.	Click on ""Cancel"" against the Order ID.
10.	Note: Order Cancellation is only applicable when the order status is in ""Pending"".

To cancel an order from the Zaggle mobile app, follow these steps:
1.	Login to the mobile app using OTP.
2.	Go to the home page of the Zaggle Mobile App.
3.	Tap on ""My Account"" at the bottom of the page.
4.	Click on ""My Orders"".
5.	Select the Order ID.
6.	Click on ""Cancel"" against the Order ID.
7.	Note: Order Cancellation is only applicable when the order status is in ""Pending""."
92,Propel,Redeem the zaggle badges,"It depends on the badges configuration set by your admin. If your admin has configured the badge to contribute to virtual points, then unfortunately, you won't be able to redeem these points directly. However, if it's configured differently, the points earned through badges will accumulate in your Propel account as redeemable points.  These redeemable points can be used to purchase e-vouchers, physical vouchers, and merchandise from the catalog, which may vary."
93,Propel,Redeem the zaggle points,"To redeem the points from the Propel Web platform, please follow these steps:
1.	Visit www.zagglepropel.com.
2.	Login using your email ID or mobile number along with your password or OTP.
3.	Click on ""Login"" button.
4.	Navigate to the ""Redeem"" section.
5.	Choose between e-voucher or physical voucher tabs. Select the desired category or search for brands on the search bar.
6.	Choose the denomination for the brand and click on ""Add to Cart"".
7.	Go to the cart.
8.	Verify the denomination and quantity in your cart.
9.	If applicable, add the delivery address for physical vouchers.
10.	Select the checkbox for ""Zaggle Propel Card"".
11.	Click on ""Place Order"".
12.	Optional: If you have insufficient points, select ""Other Payment Mode: Debit Card/Credit Card/Net Banking"". Click on ""Place Order"". You will be redirected to the payment gateway. Enter your mobile number, followed by UPI, card, or net banking details and click on ""Pay Now"".
13.	Upon successful order placement, a success message will be displayed.

To redeem the points from the Zaggle mobile app, follow these steps:
1.	Login to the mobile app using OTP.
2.	Go to the home page of the Zaggle Mobile App.
3.	Tap on ""Zaggle Cards"" at the bottom of the page.
4.	Tap on ""Zaggle Propel Points"".
5.	Click on ""Redeem"".
15.	Filter by product type - E-Voucher or Physical Voucher and its corresponding category. Or search for the brand name on the search bar.
6.	Tap on the product image.
7.	Select the denomination for the corresponding brand and click on ""Add to Cart"".
8.	Go to the cart.
9.	Verify the denomination and quantity in your cart.
10.	If applicable, add the delivery address for physical vouchers.
11.	Click on ""View Details"" under Zaggle Pay Balance section.
12.	Select the checkbox for ""Zaggle Propel Points"".
13.	Click on ""Continue"".
14.	Optional: If you have insufficient points, click on ""Other Payment Mode: Debit/Credit Card/Net Banking or Mobikwik"". Click on ""Continue"". If another payment mode is selected, you will be redirected to the payment gateway. Enter your UPI or card or Net Banking details.
15.	Upon successful order placement, a success message will be displayed.
"
94,EMS,Should an expense always have a receipt attached to it?,No. You can create an expense without any receipt also. You will receive a warning to attach a receipt while saving or submitting such an expense if it is against the organization's policies.
95,SAVE,"Transaction declined at POS ?
Meal wallet is available still transaction was declined ?","There might be a server or MCC error at the vendor's end; please try again. If the issue persists with different merchants, please contact our support team at care@zaggle.in or by calling at 18605001231, Monday to Saturday. 10 AM to 7.00 PM"
96,Save,Transaction failed but amount was debited from card,"
In most cases, if the transaction has failed with the merchant, the money will be reversed to you automatically within 5-7 days and won't be billed to you.
You can also contact the merchant's customer support or helpdesk to explain the situation and request a refund or resolution."
97,SAVE,Unable to add the card,"The Zinger gets automatically shown in the Mobile App. Incase its is not showing, Please contact our support team at care@zaggle.in or by calling at 18605001231, Monday to Saturday. 10 AM to 7.00 PM"
98,EMS,What happens if someone loses their receipt? Can they get it back from Zaggle EMS?,Yes. All the receipts uploaded to Zaggle EMS remain saved. You can just open the expense and download the receipt from there anytime.
99,Edge,What happens if ZAKEY gets lost?,"1.) If Zakey is lost, please block your Zakey under Card Settings and raise a replacement request on the Zaggle Mobile app.
2.) New Zakey will be dispatched to you on the provided dispatch address post debitted the replacement charges  You can also write an email to care@zaggle.in for a replacement. Replacement charges will be applicable."
100,EMS,What is a non-reimbursable expense?,"An amount spent by an employee on behalf of the organization through the advances received from the organization is a non-reimbursable expense. No reimbursement is needed in this case, but approval is needed to check compliance with the policies."
101,EMS,What is a policy violation?,A policy violation occurs when an expense violates the policy set by the organization such as the amount of an expense exceeding the provided limit or unavailability of the required documents.
102,EMS,What is a Smart Scan?,Smart Scan is an option through which you can create expenses automatically by scanning the receipt with OCR using state of the art technology. It can be accessed through the Zaggle mobile application.
103,Save,What is my wallet balance,"To check the balance of your  Card, go to ""Zaggle Cards"" in the Zaggle Mobile App, select your card, and view the wallet-wise balances."
